STATION_NUMBER	STATION_NAME	PROV_TERR_STATE_LOC	HYD_STATUS
01AO003	GRAND LAKE AT NEWCASTLE CREEK	NB	Active
01AO004	JEMSEG RIVER AT JEMSEG	NB	Active
01AO009	BURPEE MILLSTREAM NEAR FERNMOUNT	NB	Discontinued
01AO010	FRENCH LAKE AT LAKEVILLE CORNER	NB	Active
01AO011	SAINT JOHN RIVER AT UPPER GAGETOWN	NB	Active
01AO012	SAINT JOHN RIVER AT GAGETOWN	NB	Active
01AP001	KENNEBECASIS RIVER AT NORTON	NB	Discontinued
01AP002	CANAAN RIVER AT EAST CANAAN	NB	Active
01AP003	SAINT JOHN RIVER AT OAK POINT	NB	Active
01AP004	KENNEBECASIS RIVER AT APOHAQUI	NB	Active
01AP005	SAINT JOHN RIVER AT SAINT JOHN	NB	Active
01AP006	NEREPIS RIVER NEAR FOWLERS CORNER	NB	Active
01AP009	PARLEE BROOK BELOW ARNOLDS BRIDGE	NB	Discontinued
01AP010	OTNABOG STREAM ABOVE OTNABOG LAKE	NB	Discontinued
01AQ001	LEPREAU RIVER AT LEPREAU	NB	Active
01AQ002	MAGAGUADAVIC RIVER AT ELMCROFT	NB	Active
01AQ003	WEST MUSQUASH RIVER AT MUSQUASH	NB	Discontinued
01AQ004	EAST MUSQUASH RIVER AT MUSQUASH	NB	Discontinued
01AQ005	MAGAGUADAVIC RIVER AT SECOND FALLS	NB	Discontinued
01AQ006	LITTLE LEPREAU RIVER NEAR LEPREAU	NB	Discontinued
01AQ007	MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC	NB	Active
01AQ008	PISKAHEGAN STREAM NEAR PLEASANT MOUNTAIN	NB	Discontinued
01AQ009	LAKE UTOPIA AT CANAL	NB	Discontinued
01AR001	DENNIS STREAM AT MOORES MILLS	NB	Discontinued
01AR002	EEL BROOK NEAR NORTH HEAD	NB	Discontinued
01AR003	ST. CROIX RIVER NEAR BAILEYVILLE	NB	Discontinued
01AR004	ST. CROIX RIVER AT VANCEBORO	ME	Active
01AR005	ST. CROIX RIVER AT BARING	ME	Active
01AR006	DENNIS STREAM NEAR ST. STEPHEN	NB	Active
01AR007	BOCABEC RIVER AT OUTLET OF KERR LAKE	NB	Discontinued
01AR008	BOCABEC RIVER ABOVE TIDE	NB	Discontinued
01AR009	GRAND LAKE AT FOREST CITY	ME	Active
01AR010	SPEDNIC LAKE AT ST. CROIX	NB	Active
01AR011	FOREST CITY STREAM BELOW FOREST CITY DAM	ME	Active
01AR012	CHAMCOOK STREAM AT LITTLE CHAMCOOK LAKE OUTLET	NB	Discontinued
01AR013	GRAND FALLS FLOWAGE AT GRAND FALLS	ME	Active
01AR014	ST. CROIX RIVER AT MILLTOWN DAM	NB	Active
01BA001	RESTIGOUCHE RIVER ABOVE KEDGWICK RIVER	NB	Discontinued
01BC001	RESTIGOUCHE RIVER BELOW KEDGWICK RIVER	NB	Active
01BD001	MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN	QC	Discontinued
01BD002	MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN	QC	Discontinued
01BD004	MATAPEDIA (LAC) A VAL-BRILLANT	QC	Discontinued
01BD005	LAC AU SAUMON	QC	Discontinued
01BD008	MATAPEDIA (RIVIERE) PRES DE AMQUI	QC	Active
01BD009	MATAPEDIA (RIVIERE) A 4 KM EN AMONT DE L'ASSEMETQUAGAN	QC	Active
01BE001	UPSALQUITCH RIVER AT UPSALQUITCH	NB	Active
01BF001	NOUVELLE (RIVIERE) AU PONT	QC	Discontinued
01BF002	NOUVELLE (RIVIERE) EN AVAL DU PONT	QC	Discontinued
01BF003	NOUVELLE (RIVIERE) EN AMONT DU PONT	QC	Discontinued
01BF004	"NOUVELLE (RIVI?RE) A 0,2 KM EN AMONT DU PONT-ROUTE 132 A NOUVELLE"	QC	Active
01BG001	CASCAPEDIA (PETITE RIVIERE) EN AMONT DU PONT	QC	Discontinued
01BG002	BONAVENTURE (RIVIERE) EN AMONT DU PONT	QC	Discontinued
01BG003	CASCAPEDIA (RIVIERE) EN AVAL DU LAC CASCAPEDIA	QC	Discontinued
01BG004	CASCAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ANGERS	QC	Discontinued
01BG005	CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY	QC	Active
01BG006	BASTIEN (RUISSEAU) EN AMONT DU PONT	QC	Discontinued
01BG008	CASCAPEDIA (PETITE RIVIERE) A SAINT-EDGAR	QC	Active
01BG009	BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX	QC	Active
01BG010	CASCAPêDIA (PETITE RIVI?RE) ? 0.9 KM RIVE DROITE AVAL  PONT-ROUTE ? SAINT-EDGAR	QC	Discontinued
01BH001	DARTMOUTH (RIVIERE) PRES DE CORTEREAL	QC	Discontinued
01BH002	YORK (RIVIERE) A SUNNY BANK	QC	Discontinued
01BH003	PORPHYRE (RUISSEAU)	QC	Discontinued
01BH005	DARTMOUTH (RIVIERE) EN AMONT DU RUISSEAU DU PAS DE DAME	QC	Active
01BH007	GRANDE-RIVIERE OUEST (LA)	QC	Discontinued
01BH008	SAINT-JEAN (RIVIERE)	QC	Discontinued
01BH009	YORK RIVIERE) EN AMONT DU RUISSEAU D'ARGENT	QC	Discontinued
01BH010	"YORK (RIVIERE) ? 1,4 KM EN AVAL DU RUISSEAU DINNER ISLAND"	QC	Active
01BH011	YORK (RIVIERE) EN AVAL DU RUISSEAU DES ETROITS	QC	Discontinued
01BH012	SAINT-JEAN (RIVIERE) EN AMONT DU PONT-ROUTE 132	QC	Discontinued
01BJ001	TETAGOUCHE RIVER NEAR WEST BATHURST	NB	Discontinued
01BJ002	EEL RIVER AT EEL RIVER CROSSING	NB	Discontinued
01BJ003	JACQUET RIVER NEAR DURHAM CENTRE	NB	Active
01BJ004	EEL RIVER NEAR EEL RIVER CROSSING	NB	Discontinued
01BJ006	LITTLE RIVER AT CARROLL'S FARM	NB	Discontinued
01BJ007	RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK	NB	Active
01BJ008	MILLSTREAM RIVER AT ROBERTVILLE	NB	Discontinued
01BJ009	WALKER BROOK AT CAMPBELLTON	NB	Discontinued
01BJ010	MIDDLE RIVER NEAR BATHURST	NB	Active
01BJ011	NIGADOO RIVER NEAR ALCIDA	NB	Discontinued
01BJ012	EEL RIVER NEAR DUNDEE	NB	Active
01BK001	NEPISIGUIT RIVER AT BATHURST MINES	NB	Discontinued
01BK002	NEPISIGUIT RIVER AT NEPISIGUIT NARROWS	NB	Discontinued
01BK003	NEPISIGUIT RIVER AT NEPISIGUIT FALLS	NB	Discontinued
01BK004	NEPISIGUIT RIVER NEAR PABINEAU FALLS	NB	Discontinued
01BK005	FORTY MILE BROOK AT CARIBOU DEPOT	NB	Discontinued
01BK006	FORTY MILE BROOK (WEST BRANCH) AT CARIBOU DEPOT	NB	Discontinued
01BL001	BASS RIVER AT BASS RIVER	NB	Discontinued
01BL002	RIVIERE CARAQUET AT BURNSVILLE	NB	Active
01BL003	BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING	NB	Active
01BO001	SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE	NB	Active
01BO002	RENOUS RIVER AT MCGRAW BROOK	NB	Discontinued
01BO003	BARNABY RIVER BELOW SEMIWAGAN RIVER	NB	Discontinued
01BO004	BARTIBOG RIVER BELOW HIGHWAY NO. 8	NB	Discontinued
01BP001	LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON	NB	Active
01BP002	CATAMARAN BROOK AT REPAP ROAD BRIDGE	NB	Active
01BQ001	NORTHWEST MIRAMICHI RIVER AT TROUT BROOK	NB	Active
01BQ002	LITTLE SOUTH BRANCH TOMOGONOPS RIVER AT FRESH WATER POND	NB	Discontinued
01BQ003	LITTLE SOUTH BRANCH TOMOGONOPS RIVER BELOW B PIT	NB	Discontinued
01BQ006	SOUTH BRANCH TOMOGONOPS RIVER NEAR HEATH STEEL MINES	NB	Discontinued
01BQ007	TOMOGONOPS RIVER AT THE MOUTH	NB	Discontinued
01BR001	KOUCHIBOUGUAC RIVER NEAR VAUTOUR	NB	Discontinued
01BS001	COAL BRANCH RIVER AT BEERSVILLE	NB	Active
01BT001	KINNEAR RIVER NEAR HAUTE-ABOUJAGANE	NB	Discontinued
01BU001	PETITCODIAC RIVER NEAR SALISBURY	NB	Discontinued
01BU002	PETITCODIAC RIVER NEAR PETITCODIAC	NB	Active
01BU003	TURTLE CREEK AT TURTLE CREEK	NB	Discontinued
01BU004	PALMERS CREEK NEAR DORCHESTER	NB	Discontinued
01BU005	HAYWARD BROOK SITE NO. 1 NEAR PETITCODIAC	NB	Discontinued
01BU006	HAYWARD BROOK SITE NO. 4 NEAR PETITCODIAC	NB	Discontinued
01BU007	HAYWARD BROOK SITE NO. 5 NEAR PETITCODIAC	NB	Discontinued
01BU008	HAYWARD BROOK SITE NO. 6 NEAR PETITCODIAC	NB	Discontinued
01BU009	HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC	NB	Active
01BU013	PETITCODIAC RIVER ABOVE TURTLE CREEK	NB	Discontinued
01BU014	PETITCODIAC RIVER AT DOVER	NB	Discontinued
01BU015	PETITCODIAC RIVER NEAR BEAUMONT	NB	Discontinued
01BV001	MISPEC STREAM AT BLACK RIVER ROAD CROSSING	NB	Discontinued
01BV002	KINNIE BROOK AT FUNDY NATIONAL PARK	NB	Discontinued
01BV003	UPPER SALMON RIVER AT ALMA	NB	Discontinued
01BV004	BLACK RIVER AT GARNET SETTLEMENT	NB	Active
01BV005	RATCLIFFE BROOK BELOW OTTER LAKE	NB	Discontinued
01BV006	POINT WOLFE RIVER AT FUNDY NATIONAL PARK	NB	Active
01BV007	UPPER SALMON RIVER NEAR ALMA	NB	Discontinued
01BV008	BIG SALMON RIVER NEAR ST. MARTINS	NB	Discontinued
01BV009	IMPOUNDMENT B AT NEW HORTON	NB	Discontinued
01BV010	DICKSON BROOK AT FUNDY NATIONAL PARK	NB	Discontinued
01CA001	CARRUTHERS BROOK NEAR HOWLAN	PE	Discontinued
01CA002	TROUT RIVER NEAR TYNE VALLEY	PE	Discontinued
01CA003	CARRUTHERS BROOK NEAR ST. ANTHONY	PE	Active
01CA004	SMELT CREEK NEAR ELLERSLIE	PE	Discontinued
01CA005	MIMINEGASH RIVER AT ST. LAWRENCE	PE	Discontinued
01CB001	DUNK RIVER AT ROGERS MILL	PE	Discontinued
01CB002	DUNK RIVER AT WALL ROAD	PE	Active
01CB003	PLAT RIVER AT SHERBROOKE	PE	Discontinued
01CB004	WILMOT RIVER NEAR WILMOT VALLEY	PE	Active
01CB005	NORTH BROOK NEAR WALL ROAD	PE	Discontinued
01CB006	EMERALD BROOK NEAR EMERALD	PE	Discontinued
01CB007	EAST BRANCH DUNK RIVER AT ELLIOTT	PE	Discontinued
01CB008	DUNK RIVER NEAR BREADALBANE	PE	Discontinued
01CB009	DUNK RIVER AT MCKENNA'S BRIDGE	PE	Discontinued
01CB010	DAMES BROOK NEAR NEWTON	PE	Discontinued
01CB011	DUNK RIVER ABOVE SCALES POND	PE	Discontinued
01CB012	ELMO RIVER NEAR SCALES POND	PE	Discontinued
01CB013	DUNK RIVER BELOW SCALES POND	PE	Discontinued
01CB014	SOUTHWEST BROOK NEAR MIDDLETON	PE	Discontinued
01CB015	CAPE TRAVERSE RIVER AT CARLETON	PE	Discontinued
01CB018	BARBARA WEIT STREAM AT CAVENDISH FARM	PE	Active
01CC001	HUNTER RIVER AT HUNTER RIVER	PE	Discontinued
01CC002	WINTER RIVER NEAR SUFFOLK	PE	Active
01CC003	WINTER RIVER AT BRACKLEY WELLS PUMPING STATION	PE	Discontinued
01CC004	WRIGHTS CREEK NEAR AVONLEA ROAD	PE	Discontinued
01CC005	WEST RIVER AT RIVERDALE	PE	Active
01CC006	CLYDE RIVER NEAR CLYDE RIVER	PE	Discontinued
01CC007	CLARKS CREEK AT AUGUSTUS	PE	Discontinued
01CC008	GLEN FINNAN RIVER AT TARANTUM	PE	Discontinued
01CC009	HORNES CREEK AT MARSHFIELD	PE	Discontinued
01CC010	WINTER RIVER AT UNION	PE	Active
01CC011	COLES CREEK AT MILTONVALE PUMPING STATION	PE	Active
01CD001	MORELL RIVER AT MORELL	PE	Discontinued
01CD002	MORELL RIVER AT PEAKES ROAD	PE	Discontinued
01CD003	MORELL RIVER AT BANGOR	PE	Discontinued
01CD004	BOUGHTON RIVER NEAR UPTON	PE	Discontinued
01CD005	BEAR RIVER AT ST. MARGARETS	PE	Active
01CE001	VERNON RIVER AT GLENCO ROAD CROSSING	PE	Discontinued
01CE002	MONTAGUE RIVER (NORTH BRANCH) ABOVE MONTAGUE POWERHOUSE	PE	Discontinued
01CE003	BRUDENELL RIVER NEAR BRUDENELL	PE	Discontinued
01CE004	BRUDENELL RIVER AT BRUDENELL	PE	Discontinued
01CE005	MONTAGUE RIVER NEAR HEAD OF MONTAGUE	PE	Discontinued
01CE006	CARDIGAN RIVER ABOVE CARDIGAN	PE	Discontinued
01DA001	METEGHAN RIVER NEAR METEGHAN RIVER	NS	Discontinued
01DB001	SISSIBOO RIVER NEAR WEYMOUTH	NS	Discontinued
01DB002	BEAR RIVER EAST BRANCH AT BEAR RIVER	NS	Discontinued
01DC001	ALLAIN RIVER AT LEQUILLE	NS	Discontinued
01DC002	NICTAUX RIVER AT NICTAUX FALLS	NS	Discontinued
01DC003	PARADISE BROOK NEAR PARADISE	NS	Discontinued
01DC005	ANNAPOLIS RIVER AT WILMOT	NS	Active
01DC006	SOUTH ANNAPOLIS RIVER AT MILLVILLE	NS	Discontinued
01DC007	ANNAPOLIS RIVER AT LAWRENCETOWN	NS	Active
01DD001	GASPEREAU RIVER AT MARTIN'S BRIDGE	NS	Discontinued
01DD002	CORNWALLIS RIVER AT CAMBRIDGE STATION	NS	Active
01DD003	GASPEREAU RIVER AT MILLRACE DIVERSION	NS	Discontinued
01DD004	SHARPE BROOK AT LLOYDS	NS	Discontinued
01DD005	NORTH BROOK AT SHEFFIELD MILLS	NS	Active
01DE002	ST. CROIX RIVER AT HARTVILLE	NS	Discontinued
01DF001	KENNETCOOK RIVER AT KENNETCOOK	NS	Discontinued
01DG001	STEWIACKE RIVER NEAR UPPER STEWIACKE	NS	Discontinued
01DG002	FALL RIVER AT WAVERLEY	NS	Discontinued
01DG003	BEAVERBANK RIVER NEAR KINSAC	NS	Active
01DG004	BENNERY BROOK NEAR BENNERY LAKE	NS	Discontinued
01DG006	SHUBENACADIE RIVER AT ENFIELD	NS	Discontinued
01DG007	SHUBENACADIE RIVER AT LAKE THOMAS	NS	Discontinued
01DG017	POWDER MILL LAKE BROOK NEAR WAVERLEY	NS	Discontinued
01DG018	PEMBROKE RIVER AT GLENBERVIE	NS	Discontinued
01DG019	BLACK BROOK AT OLDHAM	NS	Discontinued
01DG020	BENNERY BROOK SITE NO. 1	NS	Discontinued
01DG021	BENNERY BROOK SITE NO. 2	NS	Discontinued
01DG022	BENNERY BROOK SITE NO. 3	NS	Discontinued
01DG023	BENNERY BROOK SITE NO. 4	NS	Discontinued
01DG025	BENNERY BROOK SITE NO. 5	NS	Discontinued
01DG026	BENNERY BROOK SITE NO. 7	NS	Discontinued
01DG027	BENNERY BROOK SITE NO. 8	NS	Discontinued
01DG028	BENNERY BROOK SITE NO. 9	NS	Discontinued
01DG029	BENNERY BROOK SITE NO. 10	NS	Discontinued
01DG030	BENNERY BROOK SITE NO. 11	NS	Discontinued
01DG031	BENNERY BROOK SITE NO. 14	NS	Discontinued
01DG032	BENNERY BROOK SITE NO. 12	NS	Discontinued
01DG033	BENNERY BROOK SITE NO. 15	NS	Discontinued
01DG035	SHUBENACADIE RIVER AT OUTLET LAKE WILLIAM	NS	Discontinued
01DG041	MUDDY POND BROOK AT WAVERLEY	NS	Discontinued
01DG043	ST ANDREWS RIVER AT STEWIACKE	NS	Active
01DH001	SALMON RIVER AT VALLEY	NS	Discontinued
01DH002	SALMON RIVER AT MURRAY	NS	Active
01DH003	FRASER BROOK NEAR ARCHIBALD	NS	Discontinued
01DH004	NORTH RIVER AT NORTH RIVER	NS	Active
01DH005	SALMON RIVER AT UNION	NS	Discontinued
01DH006	MCCLURES BROOK AT COBEQUID TRAIL	NS	Active
01DJ001	GREAT VILLAGE RIVER NEAR GREAT VILLAGE	NS	Discontinued
01DJ003	ECONOMY RIVER NEAR ECONOMY	NS	Discontinued
01DJ004	FIVE ISLANDS RIVER NEAR BRITISH LAKE	NS	Discontinued
01DJ005	GREAT VILLAGE RIVER NEAR SCRABBLE HILL	NS	Active
01DL001	KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD	NS	Active
01DL002	MACCAN RIVER AT EAST SOUTHAMPTON	NS	Discontinued
01DN001	RIVER PHILIP AT OXFORD ELECTRIC LIGHT PLANT	NS	Discontinued
01DN002	RIVER PHILIP NEAR RIVER PHILIP POST OFFICE	NS	Discontinued
01DN003	WALLACE RIVER AT HOWARD'S MILL	NS	Discontinued
01DN004	WALLACE RIVER AT WENTWORTH CENTRE	NS	Discontinued
01DN005	WALLACE RIVER AT WENTWORTH	NS	Discontinued
01DN006	ROARING RIVER AT WESTCHESTER STATION	NS	Discontinued
01DN007	RIVER PHILIP AT COLLINGWOOD CORNER	NS	Discontinued
01DN008	WEST RIVER PHILIP AT COLLINGWOOD CORNER	NS	Discontinued
01DO001	RIVER JOHN AT WELSFORD	NS	Discontinued
01DP001	EAST RIVER (PICTOU) EAST BRANCH AT EUREKA	NS	Discontinued
01DP002	EAST RIVER (PICTOU) WEST BRANCH AT EUREKA	NS	Discontinued
01DP003	EAST RIVER AT STELLARTON	NS	Discontinued
01DP004	MIDDLE RIVER OF PICTOU AT ROCKLIN	NS	Active
01DQ001	EAST FRENCH RIVER NEAR MERIGOMISH	NS	Discontinued
01DR001	SOUTH RIVER AT ST. ANDREWS	NS	Active
01DR002	JAMES RIVER NEAR JAMES RIVER	NS	Discontinued
01DR003	RIGHTS RIVER NEAR ANTIGONISH	NS	Discontinued
01EA001	TUSKET RIVER AT TUSKET FALLS	NS	Discontinued
01EA002	TUSKET RIVER (WEST BRANCH) AT REYNARD BRIDGE	NS	Discontinued
01EA003	TUSKET RIVER AT WILSON'S BRIDGE	NS	Active
01EC001	ROSEWAY RIVER AT LOWER OHIO	NS	Active
01EC002	BLUE HILL BOG BROOK NEAR JORDAN FALLS	NS	Discontinued
01ED001	MERSEY RIVER AT INDIAN GARDENS	NS	Discontinued
01ED002	MERSEY RIVER AT LOWER GREAT BROOK FALLS	NS	Discontinued
01ED003	MERSEY RIVER AT MILTON	NS	Discontinued
01ED005	MERSEY RIVER BELOW GEORGE LAKE	NS	Active
01ED006	KEJIMKUJIK LAKE	NS	Discontinued
01ED007	MERSEY RIVER BELOW MILL FALLS	NS	Active
01ED008	BEAVERSKIN BROOK AT BEAVERSKIN LAKE	NS	Discontinued
01ED009	ROGERS BROOK NEAR JAKES LANDING	NS	Discontinued
01ED010	ROGERS BROOK NEAR GRAFTON ROAD	NS	Discontinued
01ED011	"ROGERS BROOK NEAR GRAFTON ROAD, SITE  NO.2"	NS	Discontinued
01ED013	SHELBURNE RIVER AT POLLARD'S FALLS BRIDGE	NS	Active
01EE001	MEDWAY RIVER AT CHARLESTON	NS	Discontinued
01EE002	MEDWAY RIVER AT HARMONY MILLS	NS	Discontinued
01EE003	HERRING COVE BROOK NEAR BROOKLYN	NS	Discontinued
01EE004	WESTFIELD RIVER NEAR NORTH BROOKFIELD	NS	Discontinued
01EE005	MOOSE PIT BROOK AT TUPPER LAKE	NS	Active
01EE006	ROUND LAKE BROOK AT ROUND LAKE	NS	Discontinued
01EE007	WHITEBURN BROOK BELOW POLLOCK LAKE	NS	Discontinued
01EF001	LAHAVE RIVER AT WEST NORTHFIELD	NS	Active
01EF003	LA HAVE RIVER ABOVE MORGAN'S FALLS	NS	Discontinued
01EG001	GOLD RIVER NEAR CHESTER BASIN	NS	Discontinued
01EG002	GOLD RIVER AT MOSHER'S FALLS	NS	Discontinued
01EH001	NORTHEAST RIVER AT ST. MARGARET'S BAY	NS	Discontinued
01EH002	INDIAN RIVER AT ST. MARGARET'S BAY	NS	Discontinued
01EH003	EAST RIVER AT ST. MARGARETS BAY	NS	Discontinued
01EH006	CANAAN RIVER AT OUTLET OF CONNAUGHT LAKE	NS	Discontinued
01EJ001	SACKVILLE RIVER AT BEDFORD	NS	Active
01EJ002	KEARNEY RUN AT MILLVIEW	NS	Discontinued
01EJ004	LITTLE SACKVILLE RIVER AT MIDDLE SACKVILLE	NS	Active
01EJ005	MCINTOSH RUN AT HERRING COVE ROAD	NS	Discontinued
01EJ006	MCINTOSH RUN AT OLD SAMBRO ROAD	NS	Discontinued
01EK001	MUSQUODOBOIT RIVER AT CRAWFORD FALLS	NS	Discontinued
01EK002	LITTLE RIVER AT PETPESWICK INLET	NS	Discontinued
01EK003	MUSQUODOBOIT RIVER NEAR MIDDLE MUSQUODOBOIT	NS	Discontinued
01EK004	MUSQUODOBOIT RIVER NEAR UPPER MUSQUODOBOIT	NS	Discontinued
01EM001	EAST RIVER SHEET HARBOUR AT MALAY FALLS	NS	Discontinued
01EM002	LITTLE WEST RIVER NEAR SHEET HARBOUR	NS	Discontinued
01EN001	LISCOMB RIVER AT LISCOMB FALLS	NS	Discontinued
01EN002	LISCOMB RIVER AT LISCOMB MILLS	NS	Discontinued
01EN003	HALFWAY BROOK NEAR SHEET HARBOUR	NS	Discontinued
01EO001	ST. MARYS RIVER AT STILLWATER	NS	Active
01EO002	ARCHIBALD BROOK AT STILLWATER	NS	Discontinued
01EO003	EAST RIVER ST. MARYS AT NEWTOWN	NS	Discontinued
01ER001	CLAM HARBOUR RIVER NEAR BIRCHTOWN	NS	Discontinued
01ER002	ST. FRANCIS RIVER AT GOOSE HARBOUR LAKE	NS	Discontinued
01FA001	RIVER INHABITANTS AT GLENORA	NS	Active
01FA002	LITTLE RIVER NEAR PORT RICHMOND	NS	Discontinued
01FA003	NORTH LITTLE RIVER BELOW BEAVER DAM LAKE	NS	Discontinued
01FB001	NORTHEAST MARGAREE RIVER AT MARGAREE VALLEY	NS	Active
01FB003	SOUTHWEST MARGAREE RIVER NEAR UPPER MARGAREE	NS	Active
01FB004	SOUTHWEST MARGAREE RIVER AT SCOTSVILLE	NS	Discontinued
